domain,model,horizon,n,coverage,delta_cov,winkler,crps,cas
hydro,qgbm,1,15348,0.7238728173051864,-0.17612718269481364,18.440915549673434,1.0849846324922707,149.72565190210486
hydro,qar,1,15348,0.7552775605942142,-0.14472243940578577,21.936693394077682,1.1918010669278403,1402.3862433553168
hydro,xtft,1,15348,0.7101902528016679,-0.1898097471983321,23.340881972103457,1.323885528923018,-6.547064242615575
hydro,qgbm,3,15331,0.7368730024134107,-0.16312699758658933,24.6623765336266,1.5042564258404632,2797.286422890673
hydro,qar,3,15331,0.7512230121975083,-0.1487769878024917,28.22356439045367,1.599727268787883,1.5612924408553472
hydro,xtft,3,15331,0.75148392146631,-0.14851607853368998,27.09401910301012,1.6247568876443248,1.3029324700768514
hydro,qgbm,7,15292,0.735613392623594,-0.16438660737640598,27.24149163468973,1.77150704073882,17.121028873699295
hydro,qar,7,15292,0.7558200366204552,-0.14417996337954486,32.46329174073025,1.9429444967172433,0.9188521781639053
hydro,xtft,7,15292,0.7968218676432122,-0.10317813235678785,30.317265797133803,1.8501250477537554,0.698114350859418
hydro,qgbm,14,15236,0.7238120241533211,-0.1761879758466789,28.443427856966142,1.883447889748605,-41.63087099536767
hydro,qar,14,15236,0.757679180887372,-0.14232081911262806,33.87460239039939,2.143330743610824,0.6461230994942181
hydro,xtft,14,15236,0.7799291152533473,-0.12007088474665273,29.556782010611666,1.8990089890619046,1.1492580632917482
hydro,qgbm,28,15124,0.7371065855593758,-0.16289341444062422,29.466835890709426,1.9695527818392258,-10.887669052153322
hydro,qar,28,15124,0.8115577889447236,-0.08844221105527639,34.5255712184384,2.3411314716971363,0.5006145284283814
hydro,xtft,28,15124,0.74808251785242,-0.15191748214758005,31.024458022836377,1.9623582274437246,0.44231520739632596
subsidence,qgbm,1,40,0.6,-0.30000000000000004,28.407878596466066,2.234636931824879,0.23855107093815678
subsidence,qar,1,40,0.85,-0.050000000000000044,22.714867777320983,2.0869058801582794,0.06578658185486433
subsidence,xtft,1,40,0.0,-0.9,64.94830272878919,2.4114680579304695,-34.68585255461105
subsidence,qgbm,3,38,0.5263157894736842,-0.37368421052631584,34.83758241169147,2.3015425149750417,0.578880624695894
subsidence,qar,3,38,0.8421052631578947,-0.05789473684210533,23.202820713418415,2.13995968691721,0.07475999482559421
subsidence,xtft,3,38,0.5526315789473685,-0.34736842105263155,24.183829182615646,1.703513104782293,0.10026820877369545
subsidence,qgbm,7,34,0.5294117647058824,-0.37058823529411766,37.820392323834184,2.508641341476659,0.539292998508538
subsidence,qar,7,34,0.8529411764705882,-0.04705882352941182,25.202579215519904,2.3067664399854757,0.06605881130486495
subsidence,xtft,7,34,0.20588235294117646,-0.6941176470588235,69.25926089286804,2.130196201100069,0.7113339344289661
subsidence,qgbm,14,27,0.6666666666666666,-0.2333333333333334,33.263263388230996,2.495621289658501,0.3368790886531635
subsidence,qar,14,27,0.7777777777777778,-0.12222222222222223,27.058186437795896,2.2931501537402093,0.09397273323646022
subsidence,xtft,14,27,0.0,-0.9,151.2543123781681,3.6256850409286994,-40.22249872156801
subsidence,qgbm,28,13,0.6153846153846154,-0.2846153846153846,48.85441082675247,3.305208681319111,0.49225132615270234
subsidence,qar,28,13,0.7692307692307693,-0.13076923076923075,38.92259983146477,3.1153369677105847,0.21781975630043185
subsidence,xtft,28,13,0.0,-0.9,198.46177124977112,0.5709764471420875,-7.907675516742487
wind,qgbm,1,497,0.6156941649899397,-0.28430583501006035,775.0575628798715,64.60431538855688,0.198191403911246
wind,qar,1,497,0.7907444668008048,-0.10925553319919523,848.1701579873338,88.2443314231662,0.06575538500329225
wind,xtft,1,497,0.903420523138833,0.0034205231388330093,1951.6211546492204,145.6434808067153,0.0
wind,qgbm,3,494,0.611336032388664,-0.28866396761133606,980.7968173248552,81.24387540854411,0.22397926851179387
wind,qar,3,494,0.7995951417004049,-0.10040485829959511,936.1539062832818,97.7305237026489,0.06494659746973874
wind,xtft,3,494,0.2732793522267207,-0.6267206477732794,3933.073318823571,666.6708492140057,0.27135557473036626
wind,qgbm,7,491,0.5885947046843177,-0.3114052953156823,1036.3615988894471,84.69704403716042,0.2907388536813511
wind,qar,7,491,0.8289205702647657,-0.07107942973523429,922.33204550584,95.30051878651933,0.05740475835754176
wind,xtft,7,491,0.7270875763747454,-0.1729124236252546,1041.976760898702,103.17352615636138,0.04695509664011141
wind,qgbm,14,484,0.5433884297520661,-0.3566115702479339,1096.6420484665375,86.07167926595673,0.15755360353857542
wind,qar,14,484,0.8305785123966942,-0.0694214876033058,924.4491670661496,101.44966741510062,0.0472850420426629
wind,xtft,14,484,0.7851239669421488,-0.11487603305785121,8804.230906075294,474.71535309090103,0.003494803743059492
wind,qgbm,28,470,0.5638297872340425,-0.3361702127659575,1169.3746097962462,88.60927533197426,0.31766897761671886
wind,qar,28,470,0.7893617021276595,-0.11063829787234047,1056.847118179928,120.46190003882948,0.053853782291449916
wind,xtft,28,470,0.6361702127659574,-0.2638297872340426,6683.128807899511,363.0419664748172,0.020189543536510073
